nombre,fecha,diametro_min_km,diametro_max_km,velocidad_km_h,distancia_tierra_km
(2015 BY512),2025-03-10,0.1338304618,0.2992540101,62380.7415886568,66336716.092436774
(2017 TA6),2025-03-10,0.0101054342,0.0225964377,59694.5904882901,63109087.817958899
(2019 RB3),2025-03-10,0.0384197891,0.0859092601,64324.5734991006,45217659.22965208
(2020 CB),2025-03-10,0.0076657557,0.0171411509,24764.878666185,36011593.247350432
(2021 EU3),2025-03-10,0.0096506147,0.0215794305,15711.5686440537,4087872.64977167
(2021 PF7),2025-03-10,0.0072871041,0.0162944602,24500.5521777886,31470147.260833327
(2021 SJ3),2025-03-10,0.014878357,0.0332690178,24101.6353088639,63276467.68365581
(2022 QB8),2025-03-10,0.0179702855,0.0401827799,56182.8056854183,39253540.760668541
(2022 US21),2025-03-10,0.1128638801,0.2523713081,62657.9804555262,44499286.51796533
(2024 EZ3),2025-03-10,0.0183888672,0.0411187571,69619.328697721,67496348.695309898
(2024 TC15),2025-03-10,0.0110803882,0.0247765013,23979.5434915827,53051609.239895072
(2024 YB7),2025-03-10,0.0676947481,0.1513700585,16142.7352009175,29458232.56945801
(2025 DB5),2025-03-10,0.0070462002,0.0157557826,7332.4958946332,2269268.011854826
(2025 EH1),2025-03-10,0.012021398,0.0268806632,28704.3054150255,2731482.331008479
(2025 EK4),2025-03-10,0.040978398,0.0916304836,38790.4214295677,2574819.103206249
(2020 KR6),2025-03-11,0.2609486033,0.5834988155,52765.3559838265,68587632.439905729
(2021 AD24),2025-03-11,0.065246163,0.1458948557,29394.6815113453,18663027.264713201
(2022 ED),2025-03-11,0.0041167546,0.0092053431,31535.0813254195,18387962.842967374
(2022 EC1),2025-03-11,0.021406959,0.0478674154,29864.838748315,16266754.820049161
(2022 EK6),2025-03-11,0.0163890951,0.0366471308,71263.1262158622,39579811.650687935
(2024 RJ1),2025-03-11,0.0315177333,0.0704757942,24512.7919779232,66324303.538288838
(2024 RJ10),2025-03-11,0.035200998,0.0787118244,39940.7473821344,52066456.282990976
(2024 TK22),2025-03-11,0.0027199128,0.0060819099,26828.4827277134,65236309.076859632
(2025 DP3),2025-03-11,0.0212009331,0.0474067277,28464.7361337768,7660105.452111475
(2025 DB7),2025-03-11,0.0095225876,0.0212931532,9301.6594716387,3696072.522128743
(2025 DD25),2025-03-11,0.0222512789,0.0497553721,20541.5285596076,10829341.758464156
(2025 EU2),2025-03-11,0.0548472651,0.1226422131,65222.5473363157,26671275.279191467
494658 (2000 UG11),2025-03-12,0.191670368,0.428587972,56311.193694879,23201631.445212425
(2009 EM1),2025-03-12,0.0699125232,0.1563291544,40611.01745066,20877694.507423095
(2013 CL118),2025-03-12,0.163137941,0.3647875257,56222.0286294463,44526179.053864815
(2015 SZ16),2025-03-12,0.0699125232,0.1563291544,50965.5698057884,19723955.058322242
(2016 FU12),2025-03-12,0.0110803882,0.0247765013,52581.5542389348,49976109.163709951
(2019 DQ),2025-03-12,0.0116025908,0.0259441818,28624.4721937467,18718249.149254586
(2020 VL),2025-03-12,0.0251509837,0.0562393094,19635.010262406,16669020.650119631
(2020 XT5),2025-03-12,0.2982325052,0.6668681546,60922.7843793361,12936190.584951058
(2021 CQ3),2025-03-12,0.4322698811,0.9665848387,150583.0194186808,69447542.718276453
(2016 LS51),2025-03-12,0.4310771239,0.9639177525,150583.114571985,69447662.695768193
(2021 ER4),2025-03-12,0.010012787,0.0223892723,53935.001552381,10690495.906255092
(2022 OQ),2025-03-12,0.0275775053,0.0616651765,36098.0022151555,44434061.637208312
(2022 UU8),2025-03-12,0.0067694748,0.0151370059,11599.5504845437,18242488.728012646
(2025 DB2),2025-03-12,0.0281420012,0.0629274276,43884.0071445528,9666207.398569646
(2025 DK2),2025-03-12,0.0240743725,0.0538319335,23508.6936416748,11781210.520714295
(2025 DM3),2025-03-12,0.0396054522,0.0885604835,38304.1248076508,7338649.967929511
(2025 DY5),2025-03-12,0.0220574334,0.0493219205,30447.827557611,3730634.686506749
(2025 DA7),2025-03-12,0.0356414182,0.0796966339,34823.5018510714,6756956.003787431
(2025 DZ14),2025-03-12,0.0466825936,0.1043854526,28878.5892165116,17317300.117565953
(2025 DC22),2025-03-12,0.0181532746,0.040591956,21073.3301521157,3545095.344807556
(2025 DL22),2025-03-12,0.0204434871,0.0457130269,35720.2694242165,2875703.189807282
(2025 EP),2025-03-12,0.1127080605,0.252022885,49520.4406602761,18218395.27297937
(2025 EB1),2025-03-12,0.0096195549,0.0215099786,23366.436596493,2134625.425958939
163348 (2002 NN4),2025-03-13,0.2561857545,0.5728487619,53218.9505276906,65169937.962262887
469219 Kamo`oalewa (2016 HO3),2025-03-13,0.0363542322,0.0812905344,11655.476357347,25631367.66181357
(2002 EM7),2025-03-13,0.0350392641,0.0783501764,26852.776798605,17211967.614028112
(2011 EC7),2025-03-13,0.1460679643,0.3266178974,107816.769801563,35658520.687177791
(2015 FC35),2025-03-13,0.0987540639,0.2208207999,92446.7190865369,69084011.875730621
(2016 EO84),2025-03-13,0.0904804968,0.2023205415,102708.3969921722,58837339.848475407
(2017 UG5),2025-03-13,0.0146067964,0.0326617897,48447.8066303446,32910492.472712424
(2021 QN2),2025-03-13,0.0291443905,0.0651688382,21907.2849764356,56271611.523593105
(2024 VR),2025-03-13,0.0294140602,0.0657718381,38814.7680339494,62509312.437983103
(2025 CT1),2025-03-13,0.021804944,0.0487573371,10321.6741527133,7416940.412496802
(2025 DP22),2025-03-13,0.0526205007,0.1176630167,30642.3893050215,23025542.305679641
(2025 DU24),2025-03-13,0.0141174083,0.0315674847,10882.0668366132,8418534.025716028
(2025 DK29),2025-03-13,0.0296862251,0.0663804174,6090.9858683378,26350865.663638247
(2025 EA4),2025-03-13,0.0193176804,0.0431956465,12510.4874714402,3349269.698446524
483656 (2005 ES70),2025-03-14,0.0470494961,0.1052058716,43392.6644414598,8465703.730105728
(2002 CS11),2025-03-14,0.1394938229,0.3119176705,19646.915685629,60380665.616099779
(2007 AF2),2025-03-14,0.1176399894,0.2630510131,52687.3257604523,60427074.675159677
(2015 OO35),2025-03-14,0.0334622374,0.0748238376,55881.0087319408,38324285.990356526
(2016 RN1),2025-03-14,0.1661709017,0.3715694322,61761.6065208373,29647994.131520509
(2017 DR109),2025-03-14,0.0080270317,0.0179489885,73131.0509507368,65676911.261010551
(2019 AQ5),2025-03-14,0.022108281,0.0494356193,15641.7714818337,54092292.86630402
(2019 ET),2025-03-14,0.0334622374,0.0748238376,54123.9402209926,48110563.736064081
(2019 TF3),2025-03-14,0.0066765941,0.0149293183,48769.3464611166,59335472.750854143
(2022 OC1),2025-03-14,0.102933082,0.2301653685,63417.1558953647,19455122.270489348
(2022 DF26),2025-03-14,0.0096506147,0.0215794305,25766.1673136932,12413545.592859638
(2024 RO15),2025-03-14,0.0232570687,0.0520043867,29297.528496991,73775922.741663098
(2024 UY4),2025-03-14,0.0134448195,0.0300635304,17414.1076761846,26900700.427637055
(2024 UX10),2025-03-14,0.0132603497,0.0296510433,74463.7497635768,70185458.402027032
(2025 DS6),2025-03-14,0.0102790973,0.0229847603,9801.9234285542,7470154.095231307
(2025 DZ24),2025-03-14,0.0296725573,0.0663498551,26252.790888492,17988675.611207113
(2025 ES2),2025-03-14,0.0082633277,0.0184773625,31909.0598805878,2195060.781310037
(2015 FE345),2025-03-15,0.0683211199,0.1527706684,30049.6894241922,59106593.724392777
(2020 FO),2025-03-15,0.0175612318,0.0392681082,74094.9650519782,5121209.509825131
(2020 VN1),2025-03-15,0.0068953287,0.0154184238,62355.2611768085,74013144.227983097
(2023 EC),2025-03-15,0.0208235599,0.0465628955,39547.0540621746,12500899.199984074
(2023 FN),2025-03-15,0.0340843469,0.0762149166,79682.5757206415,41181691.086775184
(2025 CX1),2025-03-15,0.0309424699,0.069189466,30163.2116658183,7594948.802942964
(2025 DV4),2025-03-15,0.0210840956,0.047145471,25166.6962884487,6898096.253488472
(2025 DW14),2025-03-15,0.0588511531,0.1315951789,75309.5329812774,14792839.801262703
(2025 DW24),2025-03-15,0.0382432662,0.0855145429,34727.1090354647,8690886.567194069
(2025 DO27),2025-03-15,0.03185334,0.0712262334,54920.0778702102,6602451.772445041
(2025 DU29),2025-03-15,0.0361039714,0.0807309343,55033.212651192,19952592.214947392
